Past draw results of lottery South Africa Daily Lotto of the year 2019 Year 2019 (from 2019)
Date	SERIES					
2019-12-31	29	02	26	04	05	
2019-12-30	07	13	17	30	14	
2019-12-29	16	04	34	12	36	
2019-12-28	30	31	29	23	32	
2019-12-27	16	35	04	27	13	
2019-12-26	23	36	06	25	12	
2019-12-24	22	11	25	16	08	
2019-12-23	21	36	11	05	19	
2019-12-22	02	13	22	35	12	
2019-12-21	31	34	17	03	24	
2019-12-20	21	07	03	20	35	
2019-12-19	01	09	05	23	15	
2019-12-18	05	11	32	35	21	
2019-12-17	16	05	25	20	12	
2019-12-16	22	10	20	27	08	
2019-12-15	19	30	20	35	04	
2019-12-14	05	06	07	34	22	
2019-12-13	36	06	24	21	09	
2019-12-12	20	27	31	11	36	
2019-12-11	11	09	15	23	05	
2019-12-10	19	33	05	07	31	
2019-12-09	14	22	25	27	04	
2019-12-08	08	06	22	09	36	
2019-12-07	22	28	35	09	08	
2019-12-06	21	29	30	02	36	
2019-12-05	33	01	36	21	16	
2019-12-04	09	06	03	10	11	
2019-12-03	04	33	25	22	08	
2019-12-02	30	01	31	21	36	
2019-12-01	14	26	04	30	03	
2019-11-30	34	22	16	29	26	
2019-11-29	28	22	33	23	36	
2019-11-28	17	12	28	34	04	
2019-11-27	34	35	25	36	09	
2019-11-26	07	26	02	35	15	
2019-11-25	19	08	04	34	18	
2019-11-24	06	19	34	12	27	
2019-11-23	22	11	27	29	31	
2019-11-22	22	19	32	15	06	
2019-11-21	04	23	11	12	21	
2019-11-20	04	30	19	24	08	
2019-11-19	21	23	27	34	25	
2019-11-18	14	20	24	36	07	
2019-11-17	16	18	23	33	06	
2019-11-16	02	09	01	31	19	
2019-11-15	31	05	07	26	16	
2019-11-14	21	26	15	08	12	
2019-11-13	13	23	17	07	25	
2019-11-12	30	14	02	09	07	
2019-11-11	13	31	34	09	26	
2019-11-10	20	32	23	34	10	
2019-11-09	02	36	07	01	32	
2019-11-08	13	23	32	33	30	
2019-11-07	03	05	30	32	19	
2019-11-06	02	28	20	16	22	
2019-11-05	13	25	35	05	09	
2019-11-04	34	08	06	21	33	
2019-11-03	06	21	28	24	36	
2019-11-02	12	02	20	24	31	
2019-11-01	09	30	06	22	15	
2019-10-31	12	36	21	17	15	
2019-10-30	18	30	24	32	21	
2019-10-29	09	05	06	02	07	
2019-10-28	36	18	28	34	23	
2019-10-27	07	05	09	28	06	
2019-10-26	09	33	22	02	36	
2019-10-25	31	10	19	16	29	
2019-10-24	35	03	10	32	01	
2019-10-23	21	04	17	29	30	
2019-10-22	23	02	32	08	18	
2019-10-21	29	19	27	34	28	
2019-10-20	19	16	34	06	17	
2019-10-19	08	16	26	11	30	
2019-10-18	13	18	36	15	02	
2019-10-17	04	25	31	18	20	
2019-10-16	22	09	17	25	02	
2019-10-15	27	09	18	25	15	
2019-10-14	06	11	19	22	31	
2019-10-13	25	08	07	05	27	
2019-10-12	28	18	17	36	01	
2019-10-11	14	22	11	10	24	
2019-10-10	05	36	28	22	06	
2019-10-09	13	29	32	20	35	
2019-10-08	24	13	31	15	27	
2019-10-07	24	25	21	36	22	
2019-10-06	12	08	10	02	27	
2019-10-05	33	03	06	24	09	
2019-10-04	01	09	03	26	32	
2019-10-03	21	23	06	13	07	
2019-10-02	26	32	17	33	02	
2019-10-01	34	11	27	17	28	
2019-09-30	18	04	25	03	08	
2019-09-29	12	06	19	31	13	
2019-09-28	33	08	28	09	31	
2019-09-27	28	33	19	22	21	
2019-09-26	14	11	03	24	27	
2019-09-25	04	28	13	23	12	
2019-09-24	31	27	35	34	10	
2019-09-23	30	29	20	21	02	
2019-09-22	25	14	27	10	02	
2019-09-21	23	17	28	14	29	
2019-09-20	23	07	31	34	26	
2019-09-19	10	15	12	23	16	
2019-09-18	12	15	25	23	10	
2019-09-17	20	12	34	36	27	
2019-09-16	12	23	21	11	27	
2019-09-15	27	02	03	09	12	
2019-09-14	08	11	15	35	14	
2019-09-13	05	25	30	33	29	
2019-09-12	24	20	06	04	29	
2019-09-11	01	32	16	21	26	
2019-09-10	03	01	11	33	15	
2019-09-09	03	19	23	12	10	
2019-09-08	12	10	19	27	15	
2019-09-07	14	04	29	02	25	
2019-09-06	10	06	27	25	26	
2019-09-05	12	22	09	29	01	
2019-09-04	24	05	20	36	23	
2019-09-03	30	01	18	10	04	
2019-09-02	24	33	14	26	17	
2019-09-01	29	02	03	16	36	
2019-08-31	29	08	06	22	13	
2019-08-30	17	24	26	36	33	
2019-08-29	13	09	02	34	05	
2019-08-28	31	26	14	20	22	
2019-08-27	12	29	02	27	05	
2019-08-26	17	28	29	27	36	
2019-08-25	12	17	18	15	16	
2019-08-24	26	27	23	16	33	
2019-08-23	29	23	20	07	35	
